Category,Sub-category,Manufacturer,Product Title,Product Description,Quantity (Minimum Increments),Size,Color,Other Attribute,Contract #,Contract Price,Sale_Price,Qty_Per_UOI,Unit of Issue,FOB,SEV Code,PN,COO,Weight,Height,Shipping Designations,Image
Food Service,Kitchen Supplies,CARLISLE SANITARY MAINTENANCE,4073100 ROLL 'N GRIP BROOM & BRUSH...,"18 In. BAR W/ 3 HOLDERS & 1 HOOK - Keeps brooms & brushes handy & secure. Prevents damage to bristles, handles, & walls. Increases drying speed of mops & wet broom bristles. Plastic roller grippers self-adjust to various handle diameters & are quick-r",1,,,,GS-07F-0100W,72.4231738,72.4131738,1,EA,ORIGIN,SEV06A,3690504,US,,,,SEV06A-3690504.jpg
Food Service,Kitchen Supplies,Carlisle,48 In. STEEL PADDLE SCRAPER STAINLESSSTEEL Stainless Steel,"48"" STEEL PADDLE SCRAPER STAINLESSSTEEL Stainless Steel",1,,,,GS-07F-0100W,8.080604534,8.070604534,1,EA,ORIGIN,SEV06A,4037400,US,,,,SEV06A-4037400.jpg
Food Service,Kitchen Supplies,Carlisle,55 In. CORN PARLOR BROOM STRAW Corn,"Must order in multiples of 12. A quality product that meets rigid production standards. For additional information on 11-1/2 In. POLYESTER HOOK BR YEL Yellow,please contact the contracted supplier. Specifications and additional photos provided at your request.",1,,,,GS-07F-0100W,7.1,7.09,1,EA,ORIGIN,SEV06A,4134967,US,,,,SEV06A-4134967.jpg
Food Service,Kitchen Supplies,Carlisle,79 In. - 18' ALUMINUM HANDLE,"79"" - 18' ALUMINUM HANDLE",1,,,,GS-07F-0100W,34.62972292,34.61972292,1,EA,ORIGIN,SEV06A,4150600,US,,,,SEV06A-4150600.jpg
Food Service,Kitchen Supplies,CARLISLE,"Allegro Display Bowl 3 qt, 9-1/2 In.","SEV06A  provide a beautiful presentation in a variety of popular sizes - multi-purpose display serving trays and bowls for candies, fruit, dressings, sauces, and rolls - mirror-polished finish - 18-10 stainless steel - handwashing recommended - - Hei",1,,,,GS-07F-0100W,19.01259446,19.00259446,1,EA,ORIGIN,SEV06A,4920025,US,,,,SEV06A-4920025.jpg
Food Service,Kitchen Supplies,CARLISLE,Bistro Tumbler 10.5 oz - Clear,"SEV06A  Must order in increments of 72 - color: Clear - attractive traditional fluted exterior compliments any tabletop presentation - easy stack tumblers have non-stick interior lugs to prevent jamming when stored - made of chip-, shatter-",1,,,,GS-07F-0100W,8.73,8.72,1,EA,ORIGIN,SEV06A,4042503 SEV06A,US,,,,SEV06A-4042503.jpg
Food Service,Kitchen Supplies,CARLISLE,Boot 'N Shoe Brush 14-3/4 In. Long x...,"SEV06A  color: Black - helps eliminate bacteria, refuse, dirt, and other contaminants from being tracked into food processing areas - Chrome Steel tube frame can be securely bolted to the floor for security and convenience - brushes flip up to expose a s",1,,,,GS-07F-0100W,6.23,6.22,1,EA,ORIGIN,SEV06A,3303814,US,,,,SEV06A-3303814.jpg
Food Service,Kitchen Supplies,Carlisle,BOOT 'N SHOE BRUSH REPLACEMENT Black,BOOT 'N SHOE BRUSH REPLACEMENT Black,1,,,,GS-07F-0100W,10.9,10.89,1,EA,ORIGIN,SEV06A,3619714 SEV06A,US,,,,SEV06A-3619714.jpg
Food Service,Kitchen Supplies,CARLISLE,BOWL 10oz 5.38 In. RIM OCEAN BLUE,SEV06A  Must order in increments of 24 - color: - - Country of Origin: -,1,,,,GS-07F-0100W,6.23,6.22,1,EA,ORIGIN,SEV06A,3300822,US,,,,SEV06A-3300822.jpg
Food Service,Kitchen Supplies,CARLISLE,Bronco 44 gal Lid - Red,SEV06A  Must order in increments of 3 - color: Red - Carlisle line of 10 to 55-gallon round containers will meet your every need - feature heavy duty construction with double-reinforced stress ribs and drag skids for ultimate durability - e,1,,,,GS-07F-0100W,7.25,7.24,1,EA,ORIGIN,SEV06A,4071100,US,,,,SEV06A-4071100.jpg
Food Service,Kitchen Supplies,CARLISLE,Bronco Waste Container 44 gal - Grey,SEV06A  Must order in increments of 3 - color: Grey - Carlisle line of 10 to 55-gallon round containers will meet your every need - feature heavy duty construction with double-reinforced stress ribs and drag skids for ultimate durability -,1,,,,GS-07F-0100W,156.2418136,156.2318136,1,EA,ORIGIN,SEV06A,60312,US,,,,SEV06A-60312.jpg
Food Service,Kitchen Supplies,CARLISLE,Bronco Waste Container 44 gal - Red,SEV06A  Must order in increments of 3 - color: Red - Carlisle line of 10 to 55-gallon round containers will meet your every need - feature heavy duty construction with double-reinforced stress ribs and drag skids for ultimate durability - e,1,,,,GS-07F-0100W,106.7,106.69,1,EA,ORIGIN,SEV06A,60375,US,,,,SEV06A-60375.jpg
Food Service,Kitchen Supplies,CARLISLE,Carly Salad Tong 6-7/32 In. - Black,SEV06A  Must order in increments of 12 - color: Black - carry a two-year warranty* - made of revolutionary plastic material for strength and longevity - can be used on high temperature surfaces like steam tables; withstands heat up to 300(degrees)F,1,,,,GS-07F-0100W,2.599496222,2.589496222,1,EA,ORIGIN,SEV06A,62087,US,,,,sevaphoto2.jpg
Food Service,Kitchen Supplies,CARLISLE,Carly Utility Tong 8-27/32 In. - Black,SEV06A  Must order in quantities of 12 - color: Black - carry a two-year warranty* - made of revolutionary plastic material for strength and longevity - can be used on high temperature surfaces like steam tables; withstands heat up to 300(degrees)F,1,,,,GS-07F-0100W,1.319899244,1.309899244,1,EA,ORIGIN,SEV06A,111007,US,,,,SEV06A-111007.jpg
Food Service,Kitchen Supplies,Junkin,Chef Hat Pill Box White Reg,Chef Hat  100 Percent Cotton  Size 20 In. to 22 In.  Color White  Package Quantity 1,1,,,,GS-07F-0100W,3.093198992,3.083198992,1,EA,ORIGIN,SEV06A,363300,US,,,,SEV06A-363300.jpg
Food Service,Kitchen Supplies,CARLISLE,CHOP STICKS 10.63 In. (6pr) IVORY,"SEV06A  Must order in increments of 12 - color: Ivory - smooth, durable, and reusable - won't splinter like traditional bambo - classic design, 10-5/8 In. length - conveniently packed 6 pairs per pack - - Length: 10.63 in - Material: Melami",1,,,,GS-07F-0100W,1.702770781,1.692770781,1,EA,ORIGIN,SEV06A,401054,US,,,,SEV06A-401054.jpg
Food Service,Kitchen Supplies,CARLISLE,CLASSIC RAMEKIN 1-1/2 OZ SS,"SEV06A  Must order in increments of 144 - color: ainless Steel - rust-free 18-8 stainless provides durable, easy care service - dishwasher safe - - Height: 1.00 in - Capacity: 1.50 fl oz - Top Diameter: 2.45 in - Material: Stainless Steel",1,,,,GS-07F-0100W,1.98488665,1.97488665,1,EA,ORIGIN,SEV06A,446005,US,,,,SEV06A-446005.jpg
Food Service,Kitchen Supplies,DEXTER,Cooks Knife 8 In Black,Cook's Knife  Length (In.) 8  Blade Type Straight  Blade Material High Carbon Steel  Sanitary Polypropylene Handle  Black  NSF Certified Yes,1,,,,GS-07F-0100W,1.98488665,1.97488665,1,EA,ORIGIN,SEV06A,446006,US,,,,SEV06A-446006.jpg
Food Service,Kitchen Supplies,Carlisle,COVER 20 In.,"COVER 20""",1,,,,GS-07F-0100W,3.22418136,3.21418136,1,EA,ORIGIN,SEV06A,470903,US,,,,SEV06A-470903.jpg
Food Service,Kitchen Supplies,CARLISLE,Crystalon Stack-All SAN Tumbler 10.2...,SEV06A  Must order in increments of 48 - color: Blue - update your tabletop with the distinctive look of Crystalon - unique reflective design shows your beverage beautifully - stylish ribbed texture offers better grip - made of break-resis,1,,,,GS-07F-0100W,4,3.99,1,EA,ORIGIN,SEV06A,512007,US,,,,SEV06A-512007.jpg
Food Service,Kitchen Supplies,CARLISLE,Dallas Ware Dinner Plate 10-1/4 In. - White,"SEV06A  Must order in increments of 48 - color: White - Dallas Ware, the original industry standard for melamine dinnerware - offers superior stain and scratch resistance - reinforced rim and foot design - stacks with major competitors' pr",1,,,,GS-07F-0100W,1.55163728,1.54163728,1,EA,ORIGIN,SEV06A,521607,US,,,,SEV06A-521607.jpg
Food Service,Kitchen Supplies,CARLISLE,Dallas Ware Nappie Bowl 16 oz - Tan,"SEV06A  Must order in increments of 48 - color: Tan - Dallas Ware, the original industry standard for melamine dinnerware - offers superior stain and scratch resistance - reinforced rim and foot design - stacks with major competitors' prod",1,,,,GS-07F-0100W,1.05,1.04,1,EA,ORIGIN,SEV06A,602400,US,,,,SEV06A-602400.jpg
Food Service,Kitchen Supplies,GRN,Disposable Aluminum Pans,226367 Use Disposable Aluminum Pans for Everyday PurposesHandy Disposable Aluminum Pans perform great in everyday lab use. Measure 2.5 In.H x 15-5/8 In.L x 10-3/8 In.W. Ribbed bottom and gathered corners make them unsuitable for decontamination. Pkg. of 100. 226367,1,,,,GS-07F-0100W,10.78085642,10.77085642,1,EA,ORIGIN,SEV06A,607683,US,,,,SEV06A-607683.jpg
Food Service,Kitchen Supplies,CARLISLE,DUO-PAN LBY DSTPN W/BR/Y-CLIP&,SEV06A DUO-PAN LBY DSTPN W/BR/Y-CLIP&,1,,,,GS-07F-0100W,19.36,19.35,1,EA,ORIGIN,SEV06A,608192,US,,,,SEV06A-608192.jpg
Food Service,Kitchen Supplies,CARLISLE,DuraPan Heavy Gauge One-Ninth Size...,SEV06A  Must order in increments of 6 - 18-8 stainless steel pans will not jam together during storage - double reinforced corners and unique impact resistant edge design help pans hold shape even under the toughest conditions - maintain a,1,,,,GS-07F-0100W,23.96,23.95,1,EA,ORIGIN,SEV06A,608194,US,,,,SEV06A-608194.jpg
Food Service,Kitchen Supplies,CARLISLE,DuraPan Heavy Gauge One-Ninth Size...,SEV06A  Must order in increments of 6 - 18-8 stainless steel pans will not jam together during storage - double reinforced corners and unique impact resistant edge design help pans hold shape even under the toughest conditions - maintain a,1,,,,GS-07F-0100W,61.30982368,61.29982368,1,EA,ORIGIN,SEV06A,609196,US,,,,SEV06A-609196.jpg
Food Service,Kitchen Supplies,CARLISLE,"DuraWeave Oval Basket 11-1/8 In.,...","SEV06A  Must order in increments of 12 - color: Tan - classic look for serving bread, rolls, chips, and crackers - dishwasher safe for thorough cleaning, more sanitary than wicker or plastic coated wire - baskets have the look and feel of w",1,,,,GS-07F-0100W,5.98,5.97,1,EA,ORIGIN,SEV06A,4385406,US,,,,sevaphoto2.jpg
Food Service,Kitchen Supplies,CARLISLE,DuraWeave Round Basket 9-7/16 In. /...,"SEV06A  Must order in increments of 12 - color: Tan - classic look for serving bread, rolls, chips, and crackers - dishwasher safe for thorough cleaning, more sanitary than wicker or plastic coated wire - baskets have the look and feel of w",1,,,,GS-07F-0100W,6.85138539,6.84138539,1,EA,ORIGIN,SEV06A,1027507,US,,,,SEV06A-1027507.jpg
Food Service,Kitchen Supplies,CARLISLE,Flo-Pac Bowl Brush 21 In.,SEV06A  Must order in increments of 24 - non-scratching bristles are not affected by standard bowl cleaners - - Length: 21.00 in - Bristle Width: 6.00 in - Brush Size: 4.50 in - Material: Polypropylene (PPY) - Country of Origin: United Stat,1,,,,GS-07F-0100W,6.861460957,6.851460957,1,EA,ORIGIN,SEV06A,3649000,US,,,,SEV06A-3649000.jpg
Food Service,Kitchen Supplies,CARLISLE,Flo-Pac Bucket/Wringer w/Down Press...,SEV06A  color: Yellow - durable and corrosion resistant molded Polyethlene - non-marking casters - - Capacity: 35.00 qt - Material: Polyethylene (PE) - Country of Origin: -,1,,,,GS-07F-0100W,38.38,38.37,1,EA,ORIGIN,SEV06A,3691003,US,,,,SEV06A-3691003.jpg
Food Service,Kitchen Supplies,CARLISLE,Flo-Pac Round Container Dolly - Black,"SEV06A  Must order in increments of 2 - color: Black - fit our 20, 32, 44, and 55 gal containers for safe transport of heavy loads - simple twist-to-lock feature securely attaches dolly; containers can be pushed or lifted without accidentall",1,,,,GS-07F-0100W,33.21,33.2,1,EA,ORIGIN,SEV06A,3691103,US,,,,SEV06A-3691103.jpg
Food Service,Kitchen Supplies,CARLISLE,Flo-Pac Threaded Wood Handle 60 In. Long...,SEV06A  Must order in increments of 12 - lacquered hardwood for consistent durability - standard threaded tip - - Length: 60.00 in - Diameter: 0.94 in - Material: Hardwood - Country of Origin: United States -,1,,,,GS-07F-0100W,7.778337531,7.768337531,1,EA,ORIGIN,SEV06A,4000004,US,,,,SEV06A-4000004.jpg
Food Service,Kitchen Supplies,CARLISLE,Flo-Pac Toothbrush Style Maintenance...,"SEV06A  Must order in increments of 12 - great for small jobs, tight areas, and detail work, small parts, seams, threads, and soldered joints - plastic handle with Nylon bristles - - Length: 7.00 in - Width: 0.50 in - Bristle Trim: 0.50 in",1,,,,GS-07F-0100W,7.778337531,7.768337531,1,EA,ORIGIN,SEV06A,4000009,US,,,,SEV06A-4000009.jpg
Food Service,Kitchen Supplies,CARLISLE,Flo-Pac Wedge Dust Mop 9 In. - Tan,"SEV06A  Must order in increments of 12 - color: Tan - cotton dust mop with frame; threaded handle hole - small enough for dusting corners, under and behind furniture, and hard-to-reach places - pre-shrunk canvas backing; sewn construction f",1,,,,GS-07F-0100W,2.39,2.38,1,EA,ORIGIN,SEV06A,4027100,US,,,,SEV06A-4027100.jpg
Food Service,Kitchen Supplies,CARLISLE,FVP Economy Round Container Dolly -...,SEV06A  Must order in increments of 2 - color: Black - Carlisle line of 10 to 55-gallon round containers will meet your every need - feature heavy duty construction with double-reinforced stress ribs and drag skids for ultimate durability -,1,,,,GS-07F-0100W,6.972292191,6.962292191,1,EA,ORIGIN,SEV06A,4039002,US,,,,SEV06A-4039002.jpg
Food Service,Kitchen Supplies,CARLISLE,Galaxy Flat Brush w/Nylon Bristles...,SEV06A  Must order in increments of 12 - color: White - one piece smooth finish plastic handles are easy to clean - bristles are epoxy-set to ferrules to prevent bacteria harboring air pockets - tapered Nylon bristles with chisel-point trim,1,,,,GS-07F-0100W,9.23,9.22,1,EA,ORIGIN,SEV06A,4350002,US,,,,SEV06A-4350002.jpg
Food Service,Kitchen Supplies,CARLISLE,"Grill Polishing Pads 5 In., 4 In., 1/4 In.",SEV06A  Must order in increments of 6 - - Length: 5.00 in - Width: 4.00 in - Height: 0.25 in - Country of Origin: Mexico -,1,,,,GS-07F-0100W,6.700251889,6.690251889,1,EA,ORIGIN,SEV06A,4352025,US,,,,SEV06A-4352025.jpg
Food Service,Kitchen Supplies,CARLISLE,Heavy Weight Measuring Spoons Set -...,"SEV06A  Must order in increments of 12 - color: ainless Steel - extra-heavy-duty construction for the most demanding professional use - rust-free 18-8 stainless - set includes 1/4 tsp, 1/2 tsp, 1 tsp, and 1 tbl - - Material: 18-8 Stainles",1,,,,GS-07F-0100W,19.74811083,19.73811083,1,EA,ORIGIN,SEV06A,4920225,US,,,,SEV06A-4920225.jpg
Food Service,Kitchen Supplies,CARLISLE,Ice Sculptures Dolphin - White,"SEV06A  color: White - quick and easy way to turn any table into a showpiece - fill mold with water, freeze (48-72 hours), and cut open the mold - features patented EZ-Cut Bead(TM) and Contracting Cone Base(TM) - one time use - instructions included with eve",1,,,,GS-07F-0100W,38.02,38.01,1,EA,ORIGIN,SEV06A,34104405,US,,,,SEV06A-34104405.jpg
Food Service,Kitchen Supplies,CARLISLE,Ice Sculptures Eagle - White,"SEV06A  color: White - quick and easy way to turn any table into a showpiece - fill mold with water, freeze (48-72 hours), and cut open the mold - features patented EZ-Cut Bead(TM) and Contracting Cone Base(TM) - one time use - instructions included with eve",1,,,,GS-07F-0100W,15.3,15.29,1,EA,ORIGIN,SEV06A,34104505,US,,,,SEV06A-34104505.jpg
Food Service,Kitchen Supplies,CARLISLE,Ice Sculptures Fish - White,"SEV06A  color: White - quick and easy way to turn any table into a showpiece - fill mold with water, freeze (48-72 hours), and cut open the mold - features patented EZ-Cut Bead(TM) and Contracting Cone Base(TM) - one time use - instructions included with eve",1,,,,GS-07F-0100W,38.13,38.12,1,EA,ORIGIN,SEV06A,34202306,US,,,,SEV06A-34202306.jpg
Food Service,Kitchen Supplies,CARLISLE,"Kingline Chowder Bowl 16.7 oz,...","SEV06A  Must order in increments of 48 - color: Tan - all purpose medium weight dinnerware meets the tough requirements of heavy-duty foodservice applications - durable gloss finish resists chipping, scratching and staining - reinforced at",1,,,,GS-07F-0100W,20.66,20.65,1,EA,ORIGIN,SEV06A,36141503,US,,,,SEV06A-36141503.jpg
Food Service,Kitchen Supplies,GRN,Knife Case Set 10 Piece Set,Knife Case Set  10 Piece Set  Length (In.) 20.5  Blade Material Forged High Carbon Stainless Steel  Santoprene Handle  Black  NSF Certified Y  Includes 10 Pocket Nylon Roll  6 In. carving Fork  10 In. Sharpening Steel  10 In. Carving  8 In. Chef's  7 In. Granton Edge Santoku  8 In. Bread  6 In. Boning  5 In. Utility  3 1/2 In. Paring,1,,,,GS-07F-0100W,4.74559194,4.73559194,1,EA,ORIGIN,SEV06A,36545000,US,,,,SEV06A-36545000.jpg
Food Service,Kitchen Supplies,Carlisle,LADLE 10.5 In. ASORTMNT(1SET) BLK Black,"LADLE 10.5"" ASORTMNT(1SET) BLK Black",1,,,,GS-07F-0100W,5.057934509,5.047934509,1,EA,ORIGIN,SEV06A,36631800,US,,,,SEV06A-36631800.jpg
Food Service,Kitchen Supplies,CARLISLE,LADLE 13.5 In. ASORTMNT(1SET) BLK,"SEV06A  color: Black - carry a two-year WARRANTY - one-piece polycarbonate construction improves durability and ease of cleaning; dishwasher safe; NSF Listed - Carly style has 1 oz, oval-shaped bowl allows pouring of dressings from both sides; available",1,,,,GS-07F-0100W,9.843828715,9.833828715,1,EA,ORIGIN,SEV06A,363322405,US,,,,SEV06A-363322405.jpg
Food Service,Kitchen Supplies,GRN,Magic Touch Insulated Ice Bucket with...,"B Ice Buckets and Pans are Perfect for Use in CryogenicsInsulated Ice Buckets and Lab Pans made from expanded polymer foam are lightweight, chemical-resistant, impervious to moisture and odors and unbreakable under normal circumstances. Superior at retaining hot or cold. Use with ice, dry ice, dry ice alcohol slurries and liquid nitrogen.Specifications: Each Ice Bucket comes with a lid that can be cut or drilled to make openings for thermometers, cooling coils or flasks. Available in 2.5L (No. 176226) and 4L (No. 176227).Mini Lab Ice Pans are ideal for ice and water baths as well as general organization and sample transport. Available in 3 sizes: 1L (No. 176228), 4L (No. 176229) and 9L (No. 176230).Please Specify Color: B (blue), BL (black), G (green), P (purple), R (red), Y (yellow). 176226B",1,,,,GS-07F-0100W,6.952141058,6.942141058,1,EA,ORIGIN,SEV06A,363322414,US,,,,SEV06A-363322414.jpg
Food Service,Kitchen Supplies,GRN,Magic Touch Insulated Ice Bucket with...,"BL Ice Buckets and Pans are Perfect for Use in CryogenicsInsulated Ice Buckets and Lab Pans made from expanded polymer foam are lightweight, chemical-resistant, impervious to moisture and odors and unbreakable under normal circumstances. Superior at retaining hot or cold. Use with ice, dry ice, dry ice alcohol slurries and liquid nitrogen.Specifications: Each Ice Bucket comes with a lid that can be cut or drilled to make openings for thermometers, cooling coils or flasks. Available in 2.5L (No. 176226) and 4L (No. 176227).Mini Lab Ice Pans are ideal for ice and water baths as well as general organization and sample transport. Available in 3 sizes: 1L (No. 176228), 4L (No. 176229) and 9L (No. 176230).Please Specify Color: B (blue), BL (black), G (green), P (purple), R (red), Y (yellow). 176227BL",1,,,,GS-07F-0100W,35.32493703,35.31493703,1,EA,ORIGIN,SEV06A,28803-SEV06A,US,,,,sevaphoto2.jpg
Food Service,Kitchen Supplies,GRN,Magic Touch Insulated Ice Bucket with...,"R Ice Buckets and Pans are Perfect for Use in CryogenicsInsulated Ice Buckets and Lab Pans made from expanded polymer foam are lightweight, chemical-resistant, impervious to moisture and odors and unbreakable under normal circumstances. Superior at retaining hot or cold. Use with ice, dry ice, dry ice alcohol slurries and liquid nitrogen.Specifications: Each Ice Bucket comes with a lid that can be cut or drilled to make openings for thermometers, cooling coils or flasks. Available in 2.5L (No. 176226) and 4L (No. 176227).Mini Lab Ice Pans are ideal for ice and water baths as well as general organization and sample transport. Available in 3 sizes: 1L (No. 176228), 4L (No. 176229) and 9L (No. 176230).Please Specify Color: B (blue), BL (black), G (green), P (purple), R (red), Y (yellow). 176227R",1,,,,GS-07F-0100W,34.27,34.26,1,EA,ORIGIN,SEV06A,26103 SEV06A,US,,,,sevaphoto2.jpg
Food Service,Kitchen Supplies,GRN,MAS-100ECO AIR SAMPLER,"Fast, Easy, Affordable Air MonitoringIdeal for air monitoring in the food and beverage industries. Small (11cm dia.) and lightweight (1.4kg). Uses standard 100mm Petri dishes so you can use the same media you use in your lab--no revalidation necessary. Samples using impaction method, approved worldwide.Specifications: Flow rate of 100L per min.--a full cu. meter sample in 10 min. Continuous operation of 3-1/2 hours on two rechargeable NiMH batteries. Body and perforated lid are made of durable anodized aluminum. Handle doubles as a stand. Alpha-numeric, 16-digit LCD with real time and date. Easy-to-use internal software operates with a simple one-touch,  In.yes In. and  In.no In. menu. Sampling volumes are programmable from 1-1000L. Six preset volumes--10L, 20L, 50L, 100L, 200L, 500L--assure reproducible results. Precalibrated. Battery Charger, Shoulder Bag and NiMH Battery Pack included. Optional Tripod Adaptor attaches to handle for fixed sampling. Charger, Battery Pack and Bag are..",1,,,,GS-07F-0100W,6.31,6.3,1,EA,ORIGIN,SEV06A,342913REC14,US,,,,SEV06A-342913REC14.jpg
Food Service,Kitchen Supplies,CARLISLE,metal Telescopic Handle (for 363404) 34 In.,"SEV06A  Must order in increments of 12 - round duster (363404) is perfect for dusting walls, ceilings, vents and blinds; soft flagged filament for thorough cleaning - high quality dusters (45733) available with static active 100% lambswool",1,,,,GS-07F-0100W,8.7,8.69,1,EA,ORIGIN,SEV06A,36691800 SEV06A,IT,,,,SEV06A-36691800.jpg
Food Service,Kitchen Supplies,CARLISLE,Microfiber Wet Mop Pad 18 In. - Blue,"SEV06A  Must order in increments of 12 - color: Blue - dries quicker, more thoroughly than foam - looped end microfiber reduces drag on floor - 5 HACCP friendly colors - - Length: 18.00 in - Country of Origin: -",1,,,,GS-07F-0100W,41.16,41.15,1,EA,ORIGIN,SEV06A,40349 SEV06A,HN,,,,sevaphoto2.jpg
Food Service,Kitchen Supplies,DURO,Paper Bag 1/8 BBL Kraft 52# PK 500,Paper Bag  Flat Bottom  Open Width (In.) 6-1/4  Open Length (In.) 9-3/4  Open Depth (In.) 16-3/8  Load Rating (Lb.) 10  Basis Weight 52  Color Kraft  Handle No  Package Quantity 500,1,,,,GS-07F-0100W,65.52,65.51,1,EA,ORIGIN,SEV06A,4101400 SEV06A,US,,,,SEV06A-4101400.jpg
Food Service,Kitchen Supplies,DURO,Paper Bag 12 x 3 x 18 Kraft PK 500,Paper Bag  Pinch Bottom  Open Width (In.) 3  Open Length (In.) 12  Open Depth (In.) 18  Load Rating (Lb.) 6  Basis Weight 30  Color Kraft  Handle No  Package Quantity 500,1,,,,GS-07F-0100W,9,8.99,1,EA,ORIGIN,SEV06A,4135200 SEV06A,MX,,,,SEV06A-4135200.jpg
Food Service,Kitchen Supplies,DURO,Paper Bag 25LB Grocery Kraft PK 500,Paper Bag  Flat Bottom  Open Width (In.) 5-1/4  Open Length (In.) 8-1/4  Open Depth (In.) 18  Load Rating (Lb.) 8.50  Basis Weight 40  Color Kraft  Handle No  Package Quantity 500,1,,,,GS-07F-0100W,38.84,38.83,1,EA,ORIGIN,SEV06A,60490 SEV06A,US,,,,SEV06A-60490.jpg
Food Service,Kitchen Supplies,DURO,Paper Bag 2LB Grocery Kraft PK 500,Paper Bag  Flat Bottom  Open Width (In.) 2-7/16  Open Length (In.) 4-5/16  Open Depth (In.) 7-7/8  Load Rating (Lb.) 0.75  Basis Weight 30  Color Kraft  Handle No  Package Quantity 500,1,,,,GS-07F-0100W,4.151133501,4.141133501,1,EA,ORIGIN,SEV06A,KL11525,US,,,,SEV06A-KL11525.jpg
